timestamp,station_id,station_name,lat,lon,pm10,pm25,so2,no2,co,o3,wind_speed,wind_dir
2026-02-22 01:00:00,293b13f9-1e05-458d-ab2c-b4eb48a6ffa0,İzmir Güzelbahçe İBB,38.373452571866125,26.889141274770616,,,2.22,15.58,2022.31,,6.5,180
2026-02-22 01:00:00,0a52d5f6-eb80-42ea-99d0-7233f7773538,İzmir-Kemalpaşa,38.43075914219804,27.41269212008114,12.58,,31.65,109.79,2720.85,14.27,4.9,253
2026-02-22 02:00:00,6645d178-7d3c-4aa7-a2e7-7e2008852821,EMEP - İzmir Seferihisar,38.230415613203235,26.834094052151066,,,5.46,10.42,,52.94,5.2,155
2026-02-22 02:00:00,6dbac7ff-1177-4de5-8684-a1590a696ba2,İzmir - Aliağa,38.79504084645444,26.963527213632442,,,7.02,27.27,465.46,25.19,1.8,191
2026-02-22 02:00:00,bc9c0cbe-eb38-46bd-a1da-535ba40d728b,İzmir - Aliağa - Bozköy,38.72442611850872,26.95908677041963,51.99,,5.71,4.64,726.34,29.84,4.1,165
2026-02-22 02:00:00,fcb6d9b7-11f6-428d-b251-35fc5d89195f,İzmir - Alsancak İBB,38.432222,27.144444,,,3.93,,,,2.3,141
2026-02-22 02:00:00,ca22007c-ffb4-40a3-adf4-2fb3ae5bf716,İzmir - Bayraklı İBB,38.462222,27.166667,20.0,,8.54,,,,2.3,141
2026-02-22 02:00:00,900c4af1-d77f-4b50-b1c1-7febc6d9c31d,İzmir - Bergama İBB,39.111204124660446,27.191391886630708,,,,,,,1.9,68
2026-02-22 02:00:00,00b1dcdb-702d-459b-8399-30548d8164ec,İzmir - Bornova,38.45461891681077,27.23111280466093,,20.76,,33.99,,10.9,3.0,166
2026-02-22 02:00:00,5095a053-4859-498f-88e9-bae31c596f7f,İzmir - Bornova İBB,38.469167,27.221389,31.0,,4.81,44.05,2173.9,,2.3,141
2026-02-22 02:00:00,45ee5bb3-7719-49b5-8889-6821e150ab60,İzmir - Çeşme,38.2790834780628,26.234103595129966,,,,4.33,,63.05,8.7,225
2026-02-22 02:00:00,9edcc21d-67b8-45c4-ace2-a045b6e171cf,İzmir - Çiğli İBB,38.498056,27.067778,,,,,,,4.7,113
2026-02-22 02:00:00,376cfe9f-0a11-4483-8f49-c8f444bee984,İzmir - Eğitim İstasyonu,38.422165259929585,27.19976449638273,21.68,,3.05,42.2,1532.61,5.69,2.3,141
2026-02-22 02:00:00,e19afdb5-37a4-48d6-b13b-a04793312030,İzmir - Gaziemir,38.316893436729174,27.136239539610767,,,12.74,,,,5.5,157
2026-02-22 02:00:00,332d897b-81d5-427c-a278-6b9b841da3d5,İzmir - Güzelyalı İBB,38.395833,27.082778,15.0,,10.76,10.88,493.67,,5.1,141
2026-02-22 02:00:00,1f4e258c-2212-46b0-a3db-f97182b57737,İzmir - Karabağlar,38.384056105790336,27.106633183724778,9.0,,5.83,,603.21,39.42,6.0,147
2026-02-22 02:00:00,f85eedd5-224b-45e9-88fd-757fe4c0a72e,İzmir - Karaburun,38.58492,26.56373,,,,3.99,,57.8,5.4,200
2026-02-22 02:00:00,062c071b-d2cf-4315-a6bc-e7a81b99b9a2,İzmir - Karşıyaka,38.46074916731462,27.114558229177113,59.88,,,127.79,445.16,,4.7,113
2026-02-22 02:00:00,1eb466d5-8d74-495e-8b22-637febcdc5c2,İzmir - Karşıyaka İBB,38.454167,27.109722,15.59,,11.72,,,,4.7,113
2026-02-22 02:00:00,862bd2b3-3434-4a69-8b7a-1b9dccdec63c,İzmir - Konak,38.42389255025236,27.140729790282446,,39.54,,85.25,638.65,,2.3,141
2026-02-22 02:00:00,785688ab-6414-43cd-9b25-1491e0c49ec7,İzmir - Menemen,38.6102364226783,27.0776208058745,38.22,,3.95,32.29,755.67,6.24,1.5,45
2026-02-22 02:00:00,85142ffb-5e36-4ac9-a023-59e20533546a,İzmir - Ödemiş,38.22593958004211,27.97084577611242,57.56,,13.93,,1743.96,5.9,4.9,36
2026-02-22 02:00:00,4f00873d-af5c-49bf-97ea-b495a29e4271,İzmir - Şirinyer İBB,38.3825,27.148333,17.0,,7.24,,,,6.0,147
2026-02-22 02:00:00,7fb1186a-c269-4b5a-898f-8215d6903920,İzmir - Torbalı,38.14546137637555,27.362751197915003,46.22,,13.19,13.85,1017.62,62.54,4.3,185
2026-02-22 02:00:00,488a7170-05ff-4366-ba4b-a86d27d262e3,İzmir - Yenifoça,38.744728228074536,26.83168527962759,34.78,,,9.31,,45.22,3.1,135
2026-02-22 02:00:00,293b13f9-1e05-458d-ab2c-b4eb48a6ffa0,İzmir Güzelbahçe İBB,38.373452571866125,26.889141274770616,,,1.76,13.49,1961.91,,6.9,174
2026-02-22 02:00:00,0a52d5f6-eb80-42ea-99d0-7233f7773538,İzmir-Kemalpaşa,38.43075914219804,27.41269212008114,15.69,,30.68,70.27,2496.22,22.12,4.7,261
2026-02-22 03:00:00,6645d178-7d3c-4aa7-a2e7-7e2008852821,EMEP - İzmir Seferihisar,38.230415613203235,26.834094052151066,,,5.51,10.94,,38.49,2.7,113
2026-02-22 03:00:00,6dbac7ff-1177-4de5-8684-a1590a696ba2,İzmir - Aliağa,38.79504084645444,26.963527213632442,,,6.59,22.95,434.9,28.64,2.2,171
2026-02-22 03:00:00,bc9c0cbe-eb38-46bd-a1da-535ba40d728b,İzmir - Aliağa - Bozköy,38.72442611850872,26.95908677041963,55.93,,5.87,4.22,728.47,26.61,3.1,159
2026-02-22 03:00:00,fcb6d9b7-11f6-428d-b251-35fc5d89195f,İzmir - Alsancak İBB,38.432222,27.144444,,,3.74,,,,2.1,121
2026-02-22 03:00:00,ca22007c-ffb4-40a3-adf4-2fb3ae5bf716,İzmir - Bayraklı İBB,38.462222,27.166667,21.0,,9.51,,,,2.1,121
2026-02-22 03:00:00,900c4af1-d77f-4b50-b1c1-7febc6d9c31d,İzmir - Bergama İBB,39.111204124660446,27.191391886630708,,,,,,,3.7,61
2026-02-22 03:00:00,00b1dcdb-702d-459b-8399-30548d8164ec,İzmir - Bornova,38.45461891681077,27.23111280466093,,28.35,,39.02,,11.34,3.3,167
2026-02-22 03:00:00,5095a053-4859-498f-88e9-bae31c596f7f,İzmir - Bornova İBB,38.469167,27.221389,28.0,,4.69,48.37,2145.44,,2.1,121
2026-02-22 03:00:00,45ee5bb3-7719-49b5-8889-6821e150ab60,İzmir - Çeşme,38.2790834780628,26.234103595129966,,,,3.33,,66.19,5.0,270
2026-02-22 03:00:00,9edcc21d-67b8-45c4-ace2-a045b6e171cf,İzmir - Çiğli İBB,38.498056,27.067778,,,,,,,3.3,77
2026-02-22 03:00:00,376cfe9f-0a11-4483-8f49-c8f444bee984,İzmir - Eğitim İstasyonu,38.422165259929585,27.19976449638273,26.71,,3.45,48.25,1731.36,3.58,2.1,121
2026-02-22 03:00:00,e19afdb5-37a4-48d6-b13b-a04793312030,İzmir - Gaziemir,38.316893436729174,27.136239539610767,,,12.26,,,,3.3,139
2026-02-22 03:00:00,332d897b-81d5-427c-a278-6b9b841da3d5,İzmir - Güzelyalı İBB,38.395833,27.082778,21.0,,12.18,10.32,570.34,,2.6,164
2026-02-22 03:00:00,1f4e258c-2212-46b0-a3db-f97182b57737,İzmir - Karabağlar,38.384056105790336,27.106633183724778,16.9,,5.6,,599.76,39.4,3.1,135
2026-02-22 03:00:00,f85eedd5-224b-45e9-88fd-757fe4c0a72e,İzmir - Karaburun,38.58492,26.56373,,,,3.79,,64.02,4.2,301
2026-02-22 03:00:00,062c071b-d2cf-4315-a6bc-e7a81b99b9a2,İzmir - Karşıyaka,38.46074916731462,27.114558229177113,56.12,,,115.06,47.34,,3.3,77
2026-02-22 03:00:00,1eb466d5-8d74-495e-8b22-637febcdc5c2,İzmir - Karşıyaka İBB,38.454167,27.109722,12.15,,11.69,,,,3.3,77
2026-02-22 03:00:00,862bd2b3-3434-4a69-8b7a-1b9dccdec63c,İzmir - Konak,38.42389255025236,27.140729790282446,,34.15,,77.36,439.81,,2.1,121
2026-02-22 03:00:00,785688ab-6414-43cd-9b25-1491e0c49ec7,İzmir - Menemen,38.6102364226783,27.0776208058745,41.48,,4.2,27.83,731.43,5.75,0.5,45
